,x_coordinate,Total_Pressure_Recovery,Avg_total_pressure
39,0.007614319,0.9135432458979323,100678047.39665265
40,0.00794371,0.9105409589986825,100347177.03654844
41,0.008282706,0.9074660901366216,100008307.70067066
42,0.008631587,0.9043153236537192,99661073.9832459
43,0.008990639,0.9010880098876859,99305404.28752042
44,0.00936016,0.8977758606924449,98940385.20915648
45,0.009740455,0.8943719495445048,98565253.40294467
46,0.010131839,0.890870153801011,98179334.11623335
47,0.010534634,0.8872650839529089,97782033.39219515
48,0.010949174,0.8835489386529015,97372491.4746921
49,0.0113758,0.8797120369934692,96949641.46856576
50,0.011814865,0.8757498581900806,96512985.15573901
51,0.012266732,0.8716605791996391,96062321.62572393
52,0.012731774,0.867431152754759,95596212.9899365
53,0.013210375,0.8630649990572059,95115036.17550857
54,0.013702931,0.8585123354939055,94613304.83431032
55,0.014209848,0.8534772612532698,94058408.88896717
56,0.014731546,0.8481663143125748,93473110.08651054
57,0.015268454,0.8431457863270561,92919817.22735809
58,0.015790152,0.8383538300842731,92391714.37081583
59,0.016297069,0.8332438111267169,91828559.05975996
60,0.016789625,0.8281795306256214,91270444.40606551
61,0.017268226,0.8238874499890614,90797430.89554131
62,0.017733268,0.8198374205813207,90351092.90935263
63,0.018185135,0.8159792234735603,89925896.01470652
64,0.0186242,0.8116462946324238,89448380.78245772
65,0.019050826,0.8072296127304062,88961635.45117328
66,0.019465366,0.8036445520419863,88566539.8587869
67,0.019868161,0.800358602149077,88204408.10361621
68,0.020259545,0.7972088646064074,87857287.78169186
69,0.02063984,0.7937327261864157,87474196.0887953
70,0.021009361,0.7900669694573199,87070207.2996781
71,0.021368413,0.7869100671109975,86722297.37261467
72,0.021717294,0.7841780670365318,86421214.2720392
73,0.02205629,0.7816707320253949,86144890.6341337
74,0.022385681,0.7789856697102586,85848980.36142345
75,0.022705741,0.7759550852307668,85514991.43507992
76,0.023016734,0.7731100631502326,85201452.6188775
77,0.023318915,0.7706910838384471,84934866.31888895
78,0.023612536,0.7685540847947957,84699355.96733262
79,0.023897838,0.7665660494212015,84480262.32237637
80,0.024175057,0.7644152454666289,84243230.58528927
81,0.024444423,0.7620128043625662,83978466.89683932
82,0.024706157,0.759690837333871,83722571.943187
83,0.024960475,0.7576476784733217,83497403.35316683
84,0.025207589,0.7558703838895298,83301534.63086137
85,0.025447702,0.7542723310481454,83125419.44372635
86,0.025681012,0.7527061147261642,82952812.83554892
87,0.025907712,0.7509858116027618,82763224.92039305
88,0.02612799,0.7491438481933866,82560229.29838537
89,0.026342027,0.7473418948402446,82361643.0290338
90,0.02655,0.7457113921483313,82181951.6701037
91,0.026752081,0.7442801175957235,82024216.46939798
92,0.026948437,0.7429906477502867,81882109.0138414
93,0.02713923,0.741795612854924,81750408.86677533
94,0.027324618,0.7405585738266638,81614079.60762101
95,0.027504753,0.7391823038266327,81462406.24468403
96,0.027679785,0.7377010951257803,81299167.99574685
97,0.027849859,0.7361580429118434,81129114.21380733
98,0.028015114,0.7346240129473205,80960054.73887868
99,0.028175687,0.7331686653487648,80799666.54142451
100,0.028331711,0.7317798154918906,80646606.80140118
101,0.028483314,0.730416046204677,80496311.09339534
102,0.028630623,0.7290403922461476,80344705.62199579
103,0.028773758,0.7275685435446966,80182498.90218174
104,0.028912838,0.725929620555618,80001879.57505648
105,0.029047978,0.7241292326769573,79803465.8305577
106,0.029179289,0.7221990529588518,79590748.23233117
107,0.02930688,0.7201709707364582,79367241.1799532
108,0.029430856,0.7180611379902849,79134724.72036353
109,0.02955132,0.715854150384982,78891501.20168696
110,0.029668371,0.7135674259662016,78639490.19897765
111,0.029782106,0.711212502157412,78379963.20679483
112,0.029892618,0.7086442805942667,78096929.49884452
113,0.03,0.7054079865942331,77740270.12646349
114,0.030111111,0.7002777887683966,77174890.98083137
115,0.030222222,0.6944606684017912,76533808.77414778
116,0.030333333,0.6885430220398958,75881647.98857497
117,0.030444444,0.682439284467151,75208978.81455953
118,0.030555556,0.6761931732167823,74520619.19137467
119,0.030666667,0.6699458705974669,73832128.27205268
120,0.030777778,0.663747514388336,73149031.54619287
121,0.030888889,0.6574295783402108,72452756.39144969
122,0.031,0.6515574851959367,71805615.84878638
123,0.031094642,0.6480172093800788,71415455.82298943
124,0.031209303,0.6438565040460636,70956920.67350152
125,0.031348219,0.6388177870032384,70401623.26909976
126,0.031516518,0.632548198587841,69710676.31888454
127,0.031720418,0.624677980744293,68843330.22592987
128,0.031967449,0.6147238106655494,67746319.86382374
129,0.032266733,0.6025630388746244,66406128.51082083
130,0.032629324,0.5886308435668877,64870715.46296556
131,0.033068613,0.5729724745068868,63145067.520784646
132,0.033600824,0.5557453470601262,61246532.81935584
133,0.034245612,0.5374126836779834,59226161.30308449
134,0.03502679,0.5174643465719383,57027732.67076202
135,0.03597321,0.4981828146063472,54902790.039060116
136,0.036754388,0.4868690797067143,53655947.32682614
137,0.037399176,0.4793481689919107,52827097.013706334
138,0.037931387,0.4740027853546541,52238003.07688231
139,0.038370676,0.47021490715656755,51820555.7557269
140,0.038733267,0.4674949556957482,51520800.48599164
141,0.039032551,0.46549331708308644,51300207.68097511
142,0.039279582,0.46397914878389446,51133337.0829196
143,0.039483482,0.46279681299728176,51003036.45522862
144,0.039651781,0.46185887531995995,50899669.99244043
145,0.039790697,0.46110730296690106,50816842.127067834
146,0.039905358,0.46049957531739083,50749866.82690949
147,0.04,0.4599755318302397,50692114.032748714
148,0.040102141,0.45945589070291826,50634846.40553935
149,0.040207698,0.45886798133907997,50570055.20155067
150,0.040316785,0.45823689590267624,50500505.730561875
151,0.04042952,0.45757117651970847,50427139.38705022
152,0.040546025,0.45686980393472165,50349843.842836976
153,0.040666426,0.4561310065129114,50268423.8529421
154,0.040790853,0.45535487353223686,50182889.25634219
